Season,H_win,ORtg_V,DRtg_V,TS_V,TOV_V,ORB_V,DRB_V,Wp100_V,ORtg_H,DRtg_H,TS_H,TOV_H,ORB_H,DRB_H,Wp100_H
2013,1,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244
2013,0,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951
2013,0,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,1,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121
2013,0,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488
2013,1,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,1,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684
2013,0,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,1,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927
2013,1,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,1,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,0,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,0,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,1,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098
2013,1,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,1,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537
2013,0,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366
2013,1,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586
2013,0,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,0,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634
2013,0,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,1,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488
2013,0,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,0,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,0,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,0,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,1,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537
2013,0,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,0,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805
2013,1,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,1,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,1,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366
2013,1,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121
2013,1,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,0,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488
2013,0,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366
2013,1,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,1,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,0,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,1,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537
2013,1,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927
2013,1,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,0,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074
2013,1,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244
2013,0,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,0,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,1,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586
2013,1,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,0,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,0,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,0,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098
2013,1,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,0,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366
2013,0,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366
2013,1,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,0,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121
2013,1,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,0,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,1,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,0,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196
2013,0,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684
2013,1,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586
2013,0,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366
2013,1,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098
2013,1,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,1,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537
2013,1,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074
2013,1,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,0,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,0,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,1,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,1,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,0,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,1,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951
2013,1,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,1,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,0,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537
2013,0,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,0,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634
2013,0,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,1,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537
2013,0,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,0,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,1,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366
2013,1,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,0,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586
2013,1,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,1,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,1,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196
2013,1,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537
2013,0,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634
2013,1,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366
2013,1,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537
2013,0,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,0,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074
2013,1,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,0,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366
2013,0,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,0,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805
2013,0,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,0,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098
2013,0,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,0,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537
2013,0,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196
2013,0,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,1,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537
2013,1,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,0,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684
2013,1,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,0,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074
2013,0,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586
2013,1,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,0,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,1,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,1,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,1,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927
2013,0,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366
2013,0,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,1,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,0,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,0,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366
2013,0,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684
2013,0,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,0,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,0,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,0,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,1,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805
2013,1,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634
2013,1,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196
2013,0,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,1,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951
2013,1,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,1,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537
2013,1,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927
2013,0,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488
2013,1,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366
2013,1,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,1,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,1,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,1,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634
2013,1,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,0,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,1,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098
2013,0,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244
2013,1,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366
2013,0,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951
2013,0,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,0,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586
2013,1,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,1,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196
2013,0,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366
2013,0,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074
2013,1,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,0,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878
2013,0,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,0,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,1,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637
2013,1,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,1,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244
2013,1,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366
2013,0,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927
2013,1,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,1,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,1,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,1,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,0,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196
2013,0,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366
2013,1,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121
2013,1,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439
2013,0,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,0,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756
2013,0,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244
2013,1,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951
2013,1,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,0,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,101.7,107.4,0.525,13.9,22.4,75.5,0.2804878048780488
2013,0,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366
2013,1,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,0,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583,102.9,107.7,0.517,14.2,27.4,74.2,0.3048780487804878
2013,0,106.0,104.6,0.538,13.6,25.2,75.7,0.5365853658536586,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586
2013,0,108.3,109.1,0.541,12.5,25.1,74.3,0.45121951219512196,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268
2013,1,111.5,107.4,0.548,12.4,28.0,74.7,0.6585365853658537,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805
2013,1,106.3,104.6,0.529,13.1,28.3,75.7,0.6097560975609756,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,0,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366
2013,1,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537
2013,1,107.2,110.1,0.537,12.9,26.9,73.8,0.4146341463414634,112.1,104.8,0.567,12.7,25.0,72.5,0.6951219512195121
2013,1,102.5,100.5,0.518,14.2,27.2,75.4,0.5853658536585366,110.5,103.9,0.566,14.0,26.5,75.6,0.7195121951219512
2013,0,110.5,102.4,0.571,13.5,22.7,76.4,0.7560975609756098,107.5,102.6,0.55,13.8,25.1,76.3,0.6219512195121951
2013,1,106.7,107.7,0.555,14.1,21.7,72.3,0.5365853658536586,99.4,109.9,0.51,14.8,24.8,72.4,0.23170731707317074
2013,1,103.5,111.3,0.523,13.9,25.5,74.5,0.3048780487804878,105.9,106.4,0.554,14.3,21.0,74.4,0.4634146341463415
2013,1,103.0,111.8,0.519,14.1,27.1,71.4,0.18292682926829268,104.2,107.7,0.518,13.0,27.2,75.8,0.4024390243902439
2013,0,103.6,103.8,0.522,11.7,21.9,77.6,0.524390243902439,105.9,109.7,0.514,12.9,31.4,73.4,0.35365853658536583
2013,1,105.7,108.8,0.532,13.9,27.8,76.6,0.34146341463414637,110.9,105.8,0.59,14.6,20.6,73.0,0.6585365853658537
2013,1,111.0,106.3,0.571,14.6,27.4,74.1,0.6585365853658537,104.1,99.3,0.535,14.3,24.9,76.8,0.6829268292682927
2013,0,108.8,105.3,0.545,13.2,27.2,74.9,0.5853658536585366,111.2,108.7,0.564,12.7,24.6,72.7,0.5975609756097561
2013,0,109.5,106.7,0.558,14.0,26.4,73.7,0.5853658536585366,106.0,108.2,0.536,14.0,27.5,74.5,0.43902439024390244
2013,1,108.9,106.2,0.535,12.2,27.4,74.4,0.4878048780487805,104.2,110.6,0.542,13.7,20.2,71.0,0.32926829268292684
